ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-05-21,4610.417127222507,3811.559258262278,5202.4693829956595,4610.417127222507,4610.417127222507,-109.61314393940026,-109.61314393940026,-109.61314393940026,5.349178819316217,5.349178819316217,5.349178819316217,-114.96232275871648,-114.96232275871648,-114.96232275871648,0.0,0.0,0.0,4500.803983283106
2008-05-22,4603.100204868994,3742.6978270637005,5172.408662278521,4603.100204868994,4603.100204868994,-102.43554902121639,-102.43554902121639,-102.43554902121639,1.8606069677491859,1.8606069677491859,1.8606069677491859,-104.29615598896557,-104.29615598896557,-104.29615598896557,0.0,0.0,0.0,4500.664655847778
2008-05-23,4595.783282515481,3808.9367389713807,5264.25320713775,4595.783282515481,4595.783282515481,-90.4799694108235,-90.4799694108235,-90.4799694108235,2.848682854180323,2.848682854180323,2.848682854180323,-93.32865226500383,-93.32865226500383,-93.32865226500383,0.0,0.0,0.0,4505.303313104658
2008-05-24,4588.4663601619695,3779.3013540150287,5256.910035637166,4588.4663601619695,4588.4663601619695,-83.73822641802975,-83.73822641802975,-83.73822641802975,-1.4743906940664,-1.4743906940664,-1.4743906940664,-82.26383572396337,-82.26383572396337,-82.26383572396337,0.0,0.0,0.0,4504.72813374394
2008-05-25,4581.149437808456,3819.5851216712545,5202.139023856543,4581.149437808456,4581.149437808456,-75.23268328814326,-75.23268328814326,-75.23268328814326,-3.926550138135357,-3.926550138135357,-3.926550138135357,-71.30613315000792,-71.30613315000792,-71.30613315000792,0.0,0.0,0.0,4505.916754520313
2008-05-26,4573.832515454944,3738.054312336293,5252.824584678007,4573.832515454944,4573.832515454944,-67.47985944850016,-67.47985944850016,-67.47985944850016,-6.823813586036744,-6.823813586036744,-6.823813586036744,-60.65604586246342,-60.65604586246342,-60.65604586246342,0.0,0.0,0.0,4506.352656006444
2008-05-27,4566.5155931014315,3739.3685469218162,5264.5681316255595,4566.5155931014315,4566.5155931014315,-48.33963452437574,-48.33963452437574,-48.33963452437574,2.166285776998343,2.166285776998343,2.166285776998343,-50.50592030137407,-50.50592030137407,-50.50592030137407,0.0,0.0,0.0,4518.175958577056
2008-05-28,4559.198670747919,3802.6575484990226,5225.9017682336,4559.198670747919,4559.198670747919,-35.68673575496391,-35.68673575496391,-35.68673575496391,5.349178819307215,5.349178819307215,5.349178819307215,-41.03591457427113,-41.03591457427113,-41.03591457427113,0.0,0.0,0.0,4523.5119349929555
2008-05-29,4551.881748394407,3812.6513372945305,5254.287949217064,4551.881748394407,4551.881748394407,-30.549646503839167,-30.549646503839167,-30.549646503839167,1.8606069677545696,1.8606069677545696,1.8606069677545696,-32.410253471593734,-32.410253471593734,-32.410253471593734,0.0,0.0,0.0,4521.332101890567
2008-05-30,4544.564826040893,3754.545914489762,5211.805995675029,4544.564826040893,4544.564826040893,-21.925174528592798,-21.925174528592798,-21.925174528592798,2.848682854181734,2.848682854181734,2.848682854181734,-24.773857382774533,-24.773857382774533,-24.773857382774533,0.0,0.0,0.0,4522.639651512301
